カテゴリ名,ランキング,商品URL,商品名,メーカー,ブランド名,口コミ点,口コミ件数,注目人数,容量・税込価格,発売日,税込価格,容量
ハーブ・アロマ,28位,https://www.cosme.net/products/10234649/,ザ パブリックオーガニック スーパーポジティブ ダメージリペア 精油ヘアオイル,カラーズ,THE PUBLIC ORGANIC,4.7,163.0,,"60ml・1,760円",2023/3/1,,
ハーブ・アロマ,29位,https://www.cosme.net/products/10079949/,NOSEMINT,素数,NOSEMINT(ノーズミント),5.2,178.0,,"2ml×3本・1,100円 / 2ml×10本・4,180円 / 2ml・418円",-,,
ハーブ・アロマ,30位,https://www.cosme.net/products/10082888/,キールズ ディープクレンジング ジェル CL,KIEHL’S SINCE 1851(キールズ),KIEHL’S SINCE 1851(キールズ),4.8,494.0,,"75ml・1,650円 / 230ml・4,730円",2014/8/22,,
ハーブ・アロマ,31位,https://www.cosme.net/products/10245749/,THREE エッセンシャルセンツ 02 DAYS IN THE TREES,ACRO,THREE,5.6,27.0,,"9mL・5,060円",2023/11/15,,
ハーブ・アロマ,32位,https://www.cosme.net/products/10034718/,クナイプ グーテエアホールング バスソルト ウィンターグリーン＆ワコルダーの香りの入浴剤,クナイプジャパン,クナイプ,4.9,313.0,,"50g・176円 / 850g・2,640円",2012/1/10 (2024/3/6追加発売),,
ハーブ・アロマ,33位,https://www.cosme.net/products/10133704/,グッドナイトピローミスト,ニールズヤード レメディーズ,ニールズヤード レメディーズ,5.4,350.0,,"45ml・3,630円",2017/8/1,,
ハーブ・アロマ,34位,https://www.cosme.net/products/10205818/,バスソルト ラベンダーミントの香り,クナイプジャパン,クナイプ,5.0,241.0,,50g・176円,2021/4/27 (2025/3/18追加発売),,
ハーブ・アロマ,35位,https://www.cosme.net/products/276806/,アルニカ マッサージオイル,ヴェレダ,ヴェレダ,5.4,1174.0,,"50ml・2,310円 / 100ml・3,630円",- (2021/6/17追加発売),,
ハーブ・アロマ,36位,https://www.cosme.net/products/10126806/,iroha INTIMATE WASH fresh,TENGA,iroha INTIMATE CARE,5.2,187.0,,"135ml・1,980円",2017/3/3,,
ハーブ・アロマ,37位,https://www.cosme.net/products/10199371/,ビューティ スリープ,ラッシュジャパン,ラッシュ,5.9,235.0,,"125g・2,550円 / 315g・4,560円",2020/10/9,,
ハーブ・アロマ,38位,https://www.cosme.net/products/10090817/,スキンコンディショナー,ウテナ,マジアボタニカ,4.9,1366.0,,500ml・825円 (編集部調べ),2015/3/2,,
ハーブ・アロマ,39位,https://www.cosme.net/products/10205754/,アウトドアスプレー,アミザージ,AROMA HOLIC,5.1,53.0,,"50ml・1,100円 / 250ml・2,035円",2021/3/1,,
ハーブ・アロマ,40位,https://www.cosme.net/products/10241193/,ハーバルバランシングウォーター ラベンダー／ローズマリー,マークスアンドウェブ,MARKS&WEB,6.0,6.0,,"100ml・1,300円 / 110ml・1,720円",2023/8/15,,
ハーブ・アロマ,41位,https://www.cosme.net/products/10092866/,会津ほまれ化粧水,日本ゼトック,ゼトックスタイル,5.0,453.0,,"200ml・1,100円",2015/3/19,,
ハーブ・アロマ,42位,https://www.cosme.net/products/10146027/,消臭・除菌ファブリックウォーター ユズ,デイリーアロマジャパン,デイリーアロマ,5.3,3.0,,"350ml・1,100円",-,,
ハーブ・アロマ,43位,https://www.cosme.net/products/10121294/,モイストアミノフォーム,エトヴォス,エトヴォス,4.7,89.0,,"90g・3,300円",2016/10/25,,
ハーブ・アロマ,44位,https://www.cosme.net/products/10123580/,ハーブシャボン,ヴェルジェ,シェルクルール,5.1,183.0,,"500ml・3,300円",2016/12/21,,
ハーブ・アロマ,45位,https://www.cosme.net/products/10220097/,kurokamiスカルプ (ラベンダーブレンド),nijito,haru,4.5,194.0,,"400ml・4,070円",2022/2/4,,
ハーブ・アロマ,46位,https://www.cosme.net/products/10124050/,お浄め塩ボディソープ,マルチニーク,おいせさん,4.9,28.0,,"280ml・2,420円",2017/1/14,,
ハーブ・アロマ,47位,https://www.cosme.net/products/10190041/,リフレッシュスプレー,クナイプジャパン,クナイプ,5.0,111.0,,150ml・880円,2020/5/5 (2025/3/18追加発売),,
ハーブ・アロマ,48位,https://www.cosme.net/products/10063841/,オーガニック ヘアトニック,ヴェレダ,ヴェレダ,5.6,99.0,,"100ml・2,970円",2013/8/20,,
ハーブ・アロマ,49位,https://www.cosme.net/products/10126809/,iroha INTIMATE WASH moist,TENGA,iroha INTIMATE CARE,4.8,284.0,,"135ml・1,980円",2017/3/3,,
ハーブ・アロマ,50位,https://www.cosme.net/products/10124049/,お浄め塩へアシャンプー／トリートメント,マルチニーク,おいせさん,5.7,29.0,,,2017/1/14,-,
シェイプアップ,1位,https://www.cosme.net/products/10239413/,Shake baby,Slow rocket,Shake baby,4.7,114.0,,"750g・4,536円",2023/5/3,,
シェイプアップ,2位,https://www.cosme.net/products/10257111/,HEALSLAB WHOLE WHEAT DIET COOKIE,ローゼンバーグメディカル,HEALSLAB,5.3,20.0,,45g・298円,2024/6/3,,
シェイプアップ,3位,https://www.cosme.net/products/10261596/,フルーティプロテイン,ドットミー,Cycle.me,5.2,30.0,,12本・378円,2024/6/5 (2025/5/26追加発売),,
シェイプアップ,4位,https://www.cosme.net/products/10111712/,タンパクオトメ,九南サービス,タマチャンショップ,5.0,159.0,,"260g・2,916円",2016/4/15,,
シェイプアップ,5位,https://www.cosme.net/products/10257130/,HEALSLAB WHOLE WHEAT DIET CRACKER,ローゼンバーグメディカル,HEALSLAB,4.9,11.0,,45g・298円,2024/6/3,,
シェイプアップ,6位,https://www.cosme.net/products/2903413/,シェイプ＆ビューティ,明治,ザバス,4.8,424.0,,"210g・1,296円 / 700g・4,050円",2006年 (2014年3月追加発売),,
シェイプアップ,7位,https://www.cosme.net/products/10080906/,FACIAL FITNESS PAO,MTG,MTG,4.1,421.0,,,2014/7/22,"14,080円",
シェイプアップ,8位,https://www.cosme.net/products/10101067/,えいマット,ドリーム,プロイデア,6.0,1.0,,"585g・7,312円",-,,
シェイプアップ,9位,https://www.cosme.net/products/288850/,ウイダーinゼリー,森永製菓,ウイダー,4.9,463.0,,120g・324円 / 180g・216円 / 180g・237円 / 180g・324円,1994年2月 (2017/6/13追加発売),,
シェイプアップ,10位,https://www.cosme.net/products/10213393/,パーソナライズプロテイン,トリコ,FUJIMI(フジミ),3.7,57.0,,"900g・13,824円",2021/4/16,,
シェイプアップ,11位,https://www.cosme.net/products/10182055/,Impact EAA,THE HUT GROUP,Myprotein(マイプロテイン),6.0,3.0,,"1kg・11,221円 / 250g・4,957円 / 500g・7,009円",2017/10/21,,
シェイプアップ,12位,https://www.cosme.net/products/10225905/,私の完全美容食 黒糖プレーン味,As-meエステール,私の完全美容食,4.8,48.0,,"280g・4,980円",2022/7/1,,
シェイプアップ,13位,https://www.cosme.net/products/2935874/,ホエイプロテイン100,明治,ザバス,5.1,71.0,,"18食分・3,186円 / 50食分・5,994円 / 120食分・12,960円 / トライアル・129円",- (2019/2/25追加発売),,
シェイプアップ,14位,https://www.cosme.net/products/10254105/,オヤスミタンパク,スタイリングライフ・ホールディングス BCL カンパニー,オヤスミタンパク,5.9,62.0,,"10g・291円 / 10包入り・2,678円 / 10.5g・291円 / 300g・4,968円 / 300ｇ・4,968円 / 315ｇ・4,968円",2024/4/8 (2025/6/23追加発売)NEW,,
シェイプアップ,15位,https://www.cosme.net/products/10169792/,Impact ホエイ プロテイン,THE HUT GROUP,Myprotein(マイプロテイン),4.3,70.0,,"1kg・4,309円 / 2.5kg・7,441円 / 5kg・13,705円",2017/10/21,,
シェイプアップ,16位,https://www.cosme.net/products/10161811/,ソイプロテイン100,マツキヨココカラ＆カンパニー,matsukiyo LAB,3.5,5.0,,"900g・2,980円",2018/7/11,,
シェイプアップ,17位,https://www.cosme.net/products/10235877/,ビーガンプロテイン ウエイトダウン,ネイチャーラボ,クレバー,4.5,2.0,,"294g・2,592円",2023/3/1 (2025/4/20追加発売),,
シェイプアップ,18位,https://www.cosme.net/products/10216669/,COFFEE PURE,ピュアパートナー,COFFEE PURE,6.3,97.0,,"500g・4,860円",2021/8/30,,
シェイプアップ,19位,https://www.cosme.net/products/10246605/,re:success Fitness band,コジット,コジット,5.0,3.0,,,2023/10/2,"1,980円 / 2,200円",
シェイプアップ,20位,https://www.cosme.net/products/10274422/,VINEGAR PROTEIN,KINS,KINS,5.0,2.0,,,-,-,
シェイプアップ,21位,https://www.cosme.net/products/10254823/,シェーカーアソートセット,スタイリングライフ・ホールディングス BCL カンパニー,オヤスミタンパク,5.2,9.0,,,2024/4/8,"1,620円",
シェイプアップ,22位,https://www.cosme.net/products/10193389/,C COFFEE（チャコールコーヒーダイエット）,MEJ(エムイージェイ),C COFFEE（シーコーヒー）,4.1,417.0,,"100g・3,888円",2020/1/28,,
シェイプアップ,22位,https://www.cosme.net/products/10273014/,Lactic Clair,ERUSHEE,ERUSHEE,7.0,1.0,,"750g・8,483円",2025/1/21,,
シェイプアップ,22位,https://www.cosme.net/products/10255749/,おなかの脂肪対策プロテイン,森永乳業,ミライPlus,5.6,67.0,,300g (オープン価格),2024/4/30,,
シェイプアップ,22位,https://www.cosme.net/products/10133270/,BODY MAKE PAD Daily,イースマイル,大山式,4.5,183.0,,"50g・2,178円",2017/7/2,,
シェイプアップ,22位,https://www.cosme.net/products/2923796/,ウイダーinバー プロテイン,森永製菓,ウイダー,3.6,153.0,,1本・162円 / 1本・183円,- (2017/3/21追加発売),,
シェイプアップ,22位,https://www.cosme.net/products/10183953/,プロテイン,ウエニ貿易,マイルーティーン,2.0,2.0,,"400g・3,240円",2019/11/27,,
シェイプアップ,22位,https://www.cosme.net/products/2955549/,加圧エクサパンツ,ヤーマン,YA-MAN,4.0,61.0,,,-,"10,267円 / 11,314円",
ファッション,1位,https://www.cosme.net/products/10056194/,寝ながらメディキュット ロング,レキットベンキーザー・ジャパン,メディキュット,5.2,1570.0,,,2013/3/1,"2,750円",
ファッション,2位,https://www.cosme.net/products/10106862/,まるでこたつソックス,岡本,靴下サプリ,5.3,509.0,,"1足・1,980円",2015/9/16,,
ファッション,3位,https://www.cosme.net/products/10007260/,サンバリア100,サンバリア100,サンバリア100,6.1,779.0,,,-,"12,980円 / 13,200円 / 13,750円 / 14,300円 / 14,850円",
ファッション,4位,https://www.cosme.net/products/10258269/,TOLEETY 軽やかストレスフリーブラ,HRC,TOLEETY,4.9,51.0,,,2024/6/24,"4,378円",
ファッション,5位,https://www.cosme.net/products/10019429/,ワイヤレスブラ,ユニクロ,ユニクロ,4.7,840.0,,,- (2021/1/18追加発売),"2,189円",
ファッション,6位,https://www.cosme.net/products/10197956/,フワッとキュッと 着圧パジャマレギンス,レキットベンキーザー・ジャパン,メディキュット,4.7,344.0,,,2020/8/24 (2024/9/2追加発売),オープン価格,
ファッション,7位,https://www.cosme.net/products/2932149/,メディカル リンパケア ひざ下,レキットベンキーザー・ジャパン,メディキュット,5.7,276.0,,,-,"2,200円",
ファッション,8位,https://www.cosme.net/products/10203725/,寝ながらメディキュット スパッツ 骨盤テーピング付き EX,レキットベンキーザー・ジャパン,メディキュット,5.0,62.0,,,2021/1/25,オープン価格,
ファッション,9位,https://www.cosme.net/products/10056195/,寝ながらメディキュット ショート,レキットベンキーザー・ジャパン,メディキュット,4.4,103.0,,,-,"2,200円",
ファッション,10位,https://www.cosme.net/products/10241097/,【圧】引き締める ストッキング AP6002,アツギ,ASTIGU(アスティーグ),5.3,75.0,,1足・660円,2022/1/20,,
ファッション,11位,https://www.cosme.net/products/10274167/,フード付きUVカットパーカ,不明,Yoki,4.4,7.0,,,-,-,
ファッション,12位,https://www.cosme.net/products/10161420/,PGブラ,Belletia,p-Grandi(ピーグランディ),5.6,705.0,,,2018/11/1 (2019/6/1追加発売),"6,050円",
ファッション,13位,https://www.cosme.net/products/10272918/,ながらメンテナンス 着圧ハイソックス,レキットベンキーザー・ジャパン,メディキュット,5.5,2.0,,,-,-,
ファッション,14位,https://www.cosme.net/products/10107888/,働きながらメディキュット クイックリフレ ショート＆ロング,レキットベンキーザー・ジャパン,メディキュット,5.5,116.0,,,2016/3/1 (2021年3月追加発売),オープン価格,
ファッション,15位,https://www.cosme.net/products/10107960/,好きなときだけ！ふくらはぎ押し上げサポーター,岡本,靴下サプリ,5.1,9.0,,"1足・1,650円",2015/9/16,,
ファッション,16位,https://www.cosme.net/products/2911688/,へちまスリッパ,ハウス オブ ローゼ,ハウス オブ ローゼ,4.9,193.0,,,- (2020/4/21追加発売),682円,
ファッション,17位,https://www.cosme.net/products/10236145/,スリムウォーク 美脚ロング Wパワークール,ピップ,スリムウォーク,5.3,12.0,,,2023/3/8,オープン価格,
ファッション,18位,https://www.cosme.net/products/10042565/,完全遮光アームシェード,Rose Blanc,Rose Blanc(ロサブラン),6.5,7.0,,,-,-,
ファッション,19位,https://www.cosme.net/products/2945326/,フライトソックス コットンフィール 男女兼用(M/L),ショールズ ウェルネス カンパニー,ドクター・ショール,5.0,20.0,,,-,オープン価格,
ファッション,20位,https://www.cosme.net/products/10188275/,寝ながらメディキュット フルレッグ EX,レキットベンキーザー・ジャパン,メディキュット,5.6,57.0,,,2020/1/27,オープン価格,
ファッション,21位,https://www.cosme.net/products/10246175/,ぽかぽかカイロソックス,i.D,カイロソックス,5.9,143.0,,,2023/9/19,"2,068円",
ファッション,22位,https://www.cosme.net/products/10233233/,UVO ウーボ,ワールドパーティー,UVO,6.4,12.0,,"1本・7,700円",-,,
ファッション,23位,https://www.cosme.net/products/10002636/,おそとでメディキュット ハイソックス,レキットベンキーザー・ジャパン,メディキュット,7.0,116.0,,,2010/3/1,"1,760円",
ファッション,24位,https://www.cosme.net/products/10032033/,かかとケア ショート,玉川衛材,レッグオン,5.3,340.0,,2枚入り(1足分) (オープン価格),2008/9/3 (2012/9/5追加発売),,
ファッション,25位,https://www.cosme.net/products/10107503/,寝ながらメディキュット フルレッグ,レキットベンキーザー・ジャパン,メディキュット,4.9,791.0,,,2016/2/1,オープン価格,
ファッション,26位,https://www.cosme.net/products/10253446/,まるでこたつレッグウォーマー,岡本,靴下サプリ,5.7,10.0,,"1足・1,980円",-,,
ファッション,27位,https://www.cosme.net/products/10252598/,2段2WAY 折りたたみ(50cm)/ワンカラー,キャロットカンパニー,untule,6.0,1.0,,,2024/2/1,"14,300円",
ファッション,28位,https://www.cosme.net/products/10252596/,2段EASY 折りたたみ(50cm)/ワンカラー,キャロットカンパニー,untule,5.0,4.0,,,2024/2/1,"14,850円",
ファッション,29位,https://www.cosme.net/products/10249824/,あったか実感 レギュラー,岡本,脱げないココピタ,3.8,10.0,,1足・990円,-,,
ファッション,30位,https://www.cosme.net/products/10030901/,WOMEN ウルトラシームレスショーツ,ユニクロ,ユニクロ,5.4,487.0,,,-,649円,
ファッション,31位,https://www.cosme.net/products/10274297/,日よけケープハット,不明,Yoki,7.0,1.0,,,-,-,
ファッション,32位,https://www.cosme.net/products/10068522/,ボディシェイプ 寝ながらスパッツ 骨盤サポート付き,レキットベンキーザー・ジャパン,メディキュット,4.8,534.0,,,2013/9/2 (2021年1月以降順次切り替え追加発売),オープン価格,
ファッション,33位,https://www.cosme.net/products/10262001/,綿100%あったかインナー・タートルネック長袖レディース(敏感肌さん),千趣会(ベルメゾン),Hotcott,5.0,1.0,,,2024/8/19,"1,980円",
ファッション,34位,https://www.cosme.net/products/10143249/,夜寄るブラ,HEAVEN Japan,HEAVEN Japan,6.0,14.0,,,2017/6/15 (2025/5/7追加発売),"3,245円",
ファッション,35位,https://www.cosme.net/products/10204281/,ただいまリフレ,レキットベンキーザー・ジャパン,メディキュット,5.2,36.0,,,2021/2/8,オープン価格,
ファッション,36位,https://www.cosme.net/products/10259511/,Sun Crush! UV parasol 〜風鈴草〜,シロノサクラ,シロノサクラ｡,6.3,7.0,,,2024/6/23,"12,500円",
ファッション,37位,https://www.cosme.net/products/10091339/,ペロリン ２枚重ね履きソックス,素数,PERORIN(ペロリン),5.0,3.0,,,-,"1,386円",
ファッション,38位,https://www.cosme.net/products/2920359/,インナー,ユニクロ,ユニクロ,5.0,1414.0,,,-,"1,089円 / 2,189円 / 4,389円",
ファッション,39位,https://www.cosme.net/products/10213859/,保湿密封ソックス,リベルタ,ベビーフット,5.2,111.0,,2枚・990円 / -・990円,2021/9/27 (2024/9/13追加発売),,
ファッション,40位,https://www.cosme.net/products/10249830/,スリムガードル,ファストノット,BELMISE,5.0,5.0,,,-,"4,690円",
ファッション,41位,https://www.cosme.net/products/10271143/,破れに強い×素肌感,アツギ,スゴスト,4.0,1.0,,,2025/3/21,"1,980円",
ファッション,42位,https://www.cosme.net/products/10241486/,グラマラスパッツ ビー ガードル（Noストライプ）,YB-LAB.,GLAMOROUSPATS SERIES,5.4,16.0,,,2023/4/28,"2,750円",
ファッション,43位,https://www.cosme.net/products/10219206/,マグネフローソックス,レキットベンキーザー・ジャパン,メディキュット,5.3,13.0,,,2022/1/31,オープン価格,
ファッション,44位,https://www.cosme.net/products/10100364/,メディカルリンパソックス,ピップ,スリムウォーク,4.0,7.0,,,2015/8/25,オープン価格,
ファッション,45位,https://www.cosme.net/products/10274166/,フェイスカバーマスク,不明,Yoki,4.0,1.0,,,-,-,
ファッション,46位,https://www.cosme.net/products/10274164/,時計スリット入りアームカバー,不明,Yoki,4.0,1.0,,,-,-,
ファッション,47位,https://www.cosme.net/products/10126351/,寝ながらメディキュット スーパークール フルレッグ,レキットベンキーザー・ジャパン,メディキュット,4.5,149.0,,,2017/3/1 (2020/3/2追加発売),オープン価格,
ファッション,48位,https://www.cosme.net/products/2932147/,メディカル リンパケア ロング,レキットベンキーザー・ジャパン,メディキュット,5.2,398.0,,,-,"2,750円",
ファッション,49位,https://www.cosme.net/products/10190973/,おそとでメディキュット スリムフォーカス レギンス,レキットベンキーザー・ジャパン,メディキュット,5.8,16.0,,,2020/2/17,オープン価格,
ファッション,50位,https://www.cosme.net/products/10225545/,BAKUNE Dry,TENTIAL,TENTIAL,3.0,1.0,,,2021/8/16,"7,150円",
医薬品,1位,https://www.cosme.net/products/3098/,モアリップ N (医薬品),資生堂,モアリップ,5.5,7099.0,,,-,-,
医薬品,2位,https://www.cosme.net/products/10048704/,ヒビプロLP(医薬品),ロート製薬,メンソレータム,6.1,210.0,,"6g・1,256円 (編集部調べ)",2012/9/7,,
医薬品,3位,https://www.cosme.net/products/10047529/,メディカルリップnc(医薬品),ロート製薬,メンソレータム,4.9,347.0,,,- (2016/7/27追加発売),-,
医薬品,4位,https://www.cosme.net/products/295793/,ケラチナミンｺｰﾜ２０％尿素配合クリーム(医薬品),興和,ケラチナミン,6.1,646.0,,"30g・オープン価格 / 60g・1,650円 / 150g・2,200円",-,,
医薬品,5位,https://www.cosme.net/products/10118317/,スマイルホワイティエ(医薬品),ライオン,スマイル,5.2,212.0,,15ml・880円,-,,
医薬品,6位,https://www.cosme.net/products/10181325/,ピュアベール(医薬品),第一三共ヘルスケア,プロペト,5.7,220.0,,"30g・660円 / 100g・1,100円",2019/8/29 (2021/8/24追加発売),,
医薬品,7位,https://www.cosme.net/products/10125820/,アクネキュアクリーム（医薬品）,資生堂,イハダ,4.4,340.0,,"16g・880円 / 26g・1,210円 (編集部調べ)",2017/2/1,,
医薬品,8位,https://www.cosme.net/products/281000/,女性保健薬 命の母A (医薬品),小林製薬,命の母,4.8,810.0,,"84錠・770円 / 252錠・1,980円 / 420錠・2,860円 / 840錠・5,170円",-,,
医薬品,9位,https://www.cosme.net/products/10251463/,トランシーノEX(医薬品),第一三共ヘルスケア,トランシーノ,5.1,35.0,,"60錠・2,090円 / 120錠・3,960円 / 240錠・7,260円",2024/3/8,,
医薬品,10位,https://www.cosme.net/products/10018778/,プリスクリードD(医薬品),資生堂,イハダ,5.5,560.0,,"14ml・1,980円 (編集部調べ)",2011/3/1,,
医薬品,11位,https://www.cosme.net/products/2893565/,アイボンＷビタミン(医薬品),小林製薬,小林製薬,5.4,724.0,,"100ml・660円 / 500ml・1,320円",-,,
医薬品,12位,https://www.cosme.net/products/2602/,オロナインＨ軟膏 (医薬品),大塚製薬,オロナイン,5.0,5876.0,,"30g・484円 / 100g・1,034円 / 250g・1,980円 / 500g・3,520円",-,,
医薬品,13位,https://www.cosme.net/products/10166908/,ロートCキューブ プレミアムクリア(医薬品),ロート製薬,ロート製薬,4.6,28.0,,18ml・825円 (編集部調べ),2019/3/27,,
医薬品,14位,https://www.cosme.net/products/335124/,ニキビ治療薬(医薬品),ロート製薬,メンソレータム アクネス,4.5,324.0,,"18g・1,100円 (編集部調べ)",- (2020年8月追加発売),,
医薬品,15位,https://www.cosme.net/products/10254612/,ロートリセグロウ(医薬品),ロート製薬,ロート製薬,5.7,18.0,,8ml (オープン価格),2024/3/13,,
医薬品,16位,https://www.cosme.net/products/10111917/,セナキュア(医薬品),小林製薬,セナキュア,4.4,315.0,,"100mL・1,386円",-,,
医薬品,17位,https://www.cosme.net/products/10126958/,ハイチオールBクリア(医薬品),エスエス製薬,ハイチオール,5.2,110.0,,"30錠・935円 / 72錠・1,738円 / 180錠・3,938円",-,,
医薬品,18位,https://www.cosme.net/products/340157/,ユースキンI(医薬品),ユースキン製薬,ユースキンI(アイ),5.6,560.0,,"65g・1,100円 / 110g・1,540円",-,,
医薬品,19位,https://www.cosme.net/products/10250492/,プラミナLip(医薬品),マツキヨココカラ＆カンパニー,matsukiyo,5.6,20.0,,10g・968円,2023/10/23,,
医薬品,20位,https://www.cosme.net/products/286183/,ビタミンC(医薬品),武田食品工業,タケダ,5.1,191.0,,,-,-,
医薬品,21位,https://www.cosme.net/products/2942550/,フェミニーナ軟膏S(医薬品),小林製薬,フェミニーナ,5.0,239.0,,"15g・968円 / 30g・1,540円",-,,
医薬品,22位,https://www.cosme.net/products/2894735/,液体ムヒＳ(医薬品),池田模範堂,池田模範堂,4.9,217.0,,50ml・858円,-,,
医薬品,23位,https://www.cosme.net/products/10162546/,NEWエバレッシュEC,マツキヨココカラ＆カンパニー,matsukiyo,5.1,12.0,,"80包・3,122円",-,,
医薬品,24位,https://www.cosme.net/products/10206903/,アクネージュ メディカルクリーム(医薬品),第一三共ヘルスケア,マキロン,4.7,62.0,,,2021/3/12,"1,320円",
医薬品,25位,https://www.cosme.net/products/277413/,薬用養命酒 (医薬品),養命酒製造,養命酒製造,5.3,870.0,,"700ml・1,841円 / 1000ml・2,613円",-,,
医薬品,26位,https://www.cosme.net/products/325839/,アリナミンEXプラス(医薬品),武田コンシューマーヘルスケア,アリナミン,4.8,111.0,,,-,-,
医薬品,27位,https://www.cosme.net/products/10117988/,プリスクリードi(医薬品),資生堂,イハダ,4.0,123.0,,6g・990円 (編集部調べ),2016/9/1,,
医薬品,28位,https://www.cosme.net/products/10110680/,ナザール スプレー(医薬品),佐藤製薬,佐藤製薬,4.6,71.0,,"15ml・682円 / 30ml・1,155円",-,,
医薬品,29位,https://www.cosme.net/products/2897424/,ペアアクネクリームW(医薬品),ライオン,ペア,4.0,2547.0,,"14g・1,045円 / 24g・1,595円",-,,
医薬品,30位,https://www.cosme.net/products/10196332/,リアップ リジェンヌ(第1類医薬品),大正製薬,リアップ,4.8,36.0,,,-,-,
医薬品,31位,https://www.cosme.net/products/10232834/,ホワイトCプレミアム(医薬品),第一三共ヘルスケア,トランシーノ,4.8,81.0,,"90錠・2,310円 / 180錠・3,520円",-,,
医薬品,32位,https://www.cosme.net/products/2930704/,ユースキン リリップキュア(医薬品),ユースキン製薬,ユースキン リリップ,6.1,640.0,,,- (2019/8/1追加発売),"1,210円",
医薬品,33位,https://www.cosme.net/products/10038101/,ペア漢方エキス錠(医薬品),ライオン,ペア,5.1,153.0,,"112錠・2,398円",2012/3/14,,
医薬品,34位,https://www.cosme.net/products/314387/,チョコラBBプラス (医薬品),エーザイ,チョコラBB,5.2,1431.0,,,-,-,
医薬品,35位,https://www.cosme.net/products/280491/,フェルゼアHA20クリーム(医薬品),ライオン,フェルゼア,5.8,655.0,,"80g・1,078円 / 160g・1,518円",- (2021/9/8追加発売),,
医薬品,36位,https://www.cosme.net/products/274806/,ドルマイシン軟膏(医薬品),ゼリア新薬工業,ゼリア新薬工業,6.5,244.0,,,-,-,
医薬品,37位,https://www.cosme.net/products/10103091/,デントヘルスＲ,ライオン,デントヘルス,5.7,14.0,,10g / 20g / 40g (オープン価格),-,,
医薬品,38位,https://www.cosme.net/products/2922248/,プラセントップ錠(医薬品),スノーデン,スノーデン,5.4,141.0,,,-,-,
医薬品,39位,https://www.cosme.net/products/10107965/,デンタルピルクリーム(医薬品),森下仁丹,森下仁丹,6.4,84.0,,"5g・1,320円",2014/3/17,,
医薬品,40位,https://www.cosme.net/products/10061552/,サンテ ボーティエ (医薬品),参天製薬,Sante Beauteye (サンテ ボーティエ),5.1,224.0,,"12ml・1,650円",2013/5/13,,
医薬品,41位,https://www.cosme.net/products/322753/,U20クリーム（医薬品）,近江兄弟社,メンターム,5.1,187.0,,"90g・1,518円",-,,
医薬品,42位,https://www.cosme.net/products/10162163/,ビオフェルミン ぽっこり整腸チュアブルa(医薬品),ビオフェルミン製薬,ビオフェルミン,4.9,156.0,,"30錠・1,210円 / 60錠・2,090円",2018/10/1 (2021/4/9追加発売),,
医薬品,43位,https://www.cosme.net/products/2901687/,ＮｅｗマイティアＣＬ‐ｓ(医薬品),千寿製薬,マイティア,4.5,470.0,,15mL・660円,1980/2/4,,
医薬品,44位,https://www.cosme.net/products/10267740/,マイティアルミファイ,千寿製薬,マイティア,4.6,8.0,,"2.5mL・2,178円 / 5mL・3,828円",2025/3/14,,
医薬品,45位,https://www.cosme.net/products/2931967/,スマイルコンタクトEX ドライテクト(医薬品),ライオン,スマイル,4.5,206.0,,12ml・660円,-,,
医薬品,46位,https://www.cosme.net/products/10170881/,シナールLホワイト エクシア(医薬品),シオノギ ヘルスケア,シナール,5.6,70.0,,"180錠・4,730円",2019/3/20,,
医薬品,47位,https://www.cosme.net/products/2884660/,キンカン(医薬品),金冠堂,金冠堂,5.0,149.0,,20ml / 50ml / 100ml (オープン価格),- (2020/3/4追加発売),,
医薬品,48位,https://www.cosme.net/products/10222051/,シナールEX pro 顆粒(医薬品),シオノギ ヘルスケア,シナール,6.0,11.0,,"52包・3,058円",2020/8/25,,
医薬品,49位,https://www.cosme.net/products/10128147/,ムヒHD(医薬品),池田模範堂,池田模範堂,5.3,13.0,,"30ml・1,320円",-,,
医薬品,50位,https://www.cosme.net/products/10167532/,ＮｅｗマイティアＣＬビタクリアクール(医薬品),千寿製薬,マイティア,4.8,26.0,,15mL・748円,2018/10/23,,
医療機器,1位,https://www.cosme.net/products/10022686/,ソフトタンポン,ユニ・チャーム,ソフィ,5.4,893.0,,,1980年 (2018年4月追加発売),286円 / 330円,
医療機器,2位,https://www.cosme.net/products/2885068/,蒸気の温熱シート 肌に直接貼るタイプ,花王,めぐりズム,5.0,938.0,,4枚入 / 8枚入 / 16枚入 (オープン価格),- (2018/9/1追加発売),,
医療機器,3位,https://www.cosme.net/products/10073109/,インクリア,ハナミスイ,ハナミスイ,5.4,219.0,,"3本・1,320円 / 10本・3,960円 / 30本・8,709円",2014/1/15,,
医療機器,4位,https://www.cosme.net/products/351086/,キズパワーパッド,Kenvue,バンドエイド,5.4,1090.0,,3枚 / 4枚+2枚 / 6枚 / 10枚 / 12枚 (オープン価格),- (2021年9月追加発売),,
医療機器,5位,https://www.cosme.net/products/10123596/,スポールバン,祐徳薬品工業,祐徳薬品工業,6.5,5.0,,,-,-,
医療機器,6位,https://www.cosme.net/products/10212758/,MOLAK 1day,PIA,pia,5.4,54.0,,"10枚入り・1,760円",2019/11/13,,
医療機器,7位,https://www.cosme.net/products/10212639/,TOPARDS（トパーズ）,PIA,pia,5.5,153.0,,"10枚入・1,760円",- (2020/9/16追加発売),,
